"Target","Side","Case","Cells","Values","Weights","Topology","Compatibility","Trace","Repeat","ElapsedMs","MinimumMs","MaximumMs","Decisions","Propagations","Backtracks","Contradictions","TraceEvents","RngDraws","AssignmentChecksum"
"current64","baseline","independent-4096-v2-unit-t1","4096","2","unit","independent","dense","1","1","79","79","79","4096","0","0","0","8193","4096","3DF242B4"
"current64","baseline","independent-4096-v2-skewed-t0","4096","2","skewed","independent","dense","0","1","1235","1235","1235","4096","0","0","0","0","4096","7E32947B"
"current64","candidate","independent-4096-v2-skewed-t0","4096","2","skewed","independent","dense","0","1","16","16","16","4096","0","0","0","0","4096","7E32947B"
"current64","candidate","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","0","0","0","4096","0","0","0","8193","4096","7E32947B"
"current64","baseline","independent-4096-v2-skewed-t1","4096","2","skewed","independent","dense","1","1","1250","1250","1250","4096","0","0","0","8193","4096","7E32947B"
"current64","baseline","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","93","93","93","4096","0","0","0","0","4096","49850E08"
"current64","candidate","independent-4096-v4-unit-t0","4096","4","unit","independent","dense","0","1","0","0","0","4096","0","0","0","0","4096","49850E08"
"current64","candidate","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","15","15","15","4096","0","0","0","16385","4096","49850E08"
"current64","baseline","independent-4096-v4-unit-t1","4096","4","unit","independent","dense","1","1","78","78","78","4096","0","0","0","16385","4096","49850E08"
"current64","baseline","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","1281","1281","1281","4096","0","0","0","0","4096","7F5B7EBE"
"current64","candidate","independent-4096-v4-skewed-t0","4096","4","skewed","independent","dense","0","1","0","0","0","4096","0","0","0","0","4096","7F5B7EBE"
"current64","candidate","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","16","16","16","4096","0","0","0","16385","4096","7F5B7EBE"
"current64","baseline","independent-4096-v4-skewed-t1","4096","4","skewed","independent","dense","1","1","1282","1282","1282","4096","0","0","0","16385","4096","7F5B7EBE"
"current64","baseline","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","1250","1250","1250","16384","0","0","0","0","16384","677C1540"
"current64","candidate","independent-16384-v2-unit-t0","16384","2","unit","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","677C1540"
"current64","candidate","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","31","31","31","16384","0","0","0","32769","16384","677C1540"
"current64","baseline","independent-16384-v2-unit-t1","16384","2","unit","independent","dense","1","1","1265","1265","1265","16384","0","0","0","32769","16384","677C1540"
"current64","baseline","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","20125","20125","20125","16384","0","0","0","0","16384","4C57DF70"
"current64","candidate","independent-16384-v2-skewed-t0","16384","2","skewed","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","4C57DF70"
"current64","candidate","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","32","32","32","16384","0","0","0","32769","16384","4C57DF70"
"current64","baseline","independent-16384-v2-skewed-t1","16384","2","skewed","independent","dense","1","1","20438","20438","20438","16384","0","0","0","32769","16384","4C57DF70"
"current64","baseline","independent-16384-v4-unit-t0","16384","4","unit","independent","dense","0","1","1282","1282","1282","16384","0","0","0","0","16384","6266E2CF"
"current64","candidate","independent-16384-v4-unit-t0","16384","4","unit","independent","dense","0","1","32","32","32","16384","0","0","0","0","16384","6266E2CF"
"current64","candidate","independent-16384-v4-unit-t1","16384","4","unit","independent","dense","1","1","31","31","31","16384","0","0","0","65537","16384","6266E2CF"
"current64","baseline","independent-16384-v4-unit-t1","16384","4","unit","independent","dense","1","1","1266","1266","1266","16384","0","0","0","65537","16384","6266E2CF"
"current64","baseline","independent-16384-v4-skewed-t0","16384","4","skewed","independent","dense","0","1","20485","20485","20485","16384","0","0","0","0","16384","29DB05F0"
"current64","candidate","independent-16384-v4-skewed-t0","16384","4","skewed","independent","dense","0","1","31","31","31","16384","0","0","0","0","16384","29DB05F0"
"current64","candidate","independent-16384-v4-skewed-t1","16384","4","skewed","independent","dense","1","1","31","31","31","16384","0","0","0","65537","16384","29DB05F0"
"current64","baseline","independent-16384-v4-skewed-t1","16384","4","skewed","independent","dense","1","1","20422","20422","20422","16384","0","0","0","65537","16384","29DB05F0"
"current64","baseline","tiny-1-unit-t0","1","4","unit","independent","dense","0","1000","16","0","16","1","0","0","0","0","1","197DAD2E"
"current64","candidate","tiny-1-unit-t0","1","4","unit","independent","dense","0","1000","0","0","0","1","0","0","0","0","1","197DAD2E"
"current64","candidate","tiny-1-unit-t1","1","4","unit","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"current64","baseline","tiny-1-unit-t1","1","4","unit","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"current64","baseline","tiny-1-skewed-t0","1","4","skewed","independent","dense","0","1000","0","0","0","1","0","0","0","0","1","197DAD2E"
"current64","candidate","tiny-1-skewed-t0","1","4","skewed","independent","dense","0","1000","15","0","15","1","0","0","0","0","1","197DAD2E"
"current64","candidate","tiny-1-skewed-t1","1","4","skewed","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"current64","baseline","tiny-1-skewed-t1","1","4","skewed","independent","dense","1","1000","0","0","0","1","0","0","0","5","1","197DAD2E"
"current64","baseline","tiny-8-unit-t0","8","4","unit","independent","dense","0","1000","16","0","16","8","0","0","0","0","8","039C3E5A"
"current64","candidate","tiny-8-unit-t0","8","4","unit","independent","dense","0","1000","16","0","16","8","0","0","0","0","8","039C3E5A"
"current64","candidate","tiny-8-unit-t1","8","4","unit","independent","dense","1","1000","15","0","15","8","0","0","0","33","8","039C3E5A"
"current64","baseline","tiny-8-unit-t1","8","4","unit","independent","dense","1","1000","15","0","15","8","0","0","0","33","8","039C3E5A"
